#,NAME,,PSRJ,,RAJD,,DECJD,,P0,,,DIST,
1,J0002+6216,cwp+17,J0002+6216,cwp+17,0.74238,8.3e-05,62.26928,2.8e-05,0.1153635682680,1.4e-12,cwp+17,6.357,
2,J0006+1834,cnt96,J0006+1834,cnt96,1.5200,8.3e-04,18.5831,1.1e-03,0.69374767047,1.4e-10,cn95,0.860,
3,J0007+7303,aaa+09c,J0007+7303,aaa+09c,1.7571,8.3e-04,73.0521,2.2e-04,0.3158731909,3.0e-10,awd+12,1.400,
4,J0011+08,dsm+16,J0011+08,dsm+16,2.89,1.3e-01,8.17,1.3e-01,2.55287,0,dsm+16,5.399,
5,J0012+5431,dcm+23,J0012+5431,dcm+23,3.0971,4.2e-04,54.5297,8.3e-04,3.02530070997,1.9e-10,dcm+23,5.425,
6,B0011+47,dth78,J0014+4746,dth78,3.57396,1.7e-04,47.77594,8.3e-05,1.240699038946,1.1e-11,hlk+04,1.776,
7,J0021-0909,clh+20,J0021-0909,clh+20,5.46446,1.2e-04,-9.1663,3.1e-04,2.31413082909,1.7e-10,clh+20,25.000,
8,J0023+0923,hrm+11,J0023+0923,hrm+11,5.82032291,2.9e-08,9.38996121,6.4e-08,0.003050203104754390,4.0e-18,aab+21a,1.818,
9,J0024-7204aa,phl+16,J0024-7204aa,phl+16,6.02363,0,-72.08128,0,0.00184,0,phl+16,4.521,
10,J0024-7204ab,phl+16,J0024-7204ab,phl+16,6.034006,2.1e-06,-72.0798894,5.6e-07,0.0037046394947985,6.0e-16,frk+17,4.521,
11,J0024-7204ac,rgf+21,J0024-7204ac,rgf+21,6.02363,0,-72.06806,0,0.00274,0,rgf+21,4.521,
12,J0024-7204ad,rgf+21,J0024-7204ad,rgf+21,6.02363,0,-72.06806,0,0.00374,0,rgf+21,4.521,
13,B0021-72C,mld+90,J0024-7204C,mld+90,5.9598108,4.2e-07,-72.07541800,1.1e-07,0.00575677999551635,1.4e-16,frk+17,4.521,
14,B0021-72D,mlr+91,J0024-7204D,mlr+91,6.0578372,2.5e-07,-72.07884789,5.6e-08,0.00535757328486573,9.0e-17,frk+17,4.521,
15,B0021-72E,mlr+91,J0024-7204E,mlr+91,6.0462720,2.1e-07,-72.08893033,5.6e-08,0.00353632915276244,4.0e-17,frk+17,4.521,
16,B0021-72F,mlr+91,J0024-7204F,mlr+91,6.0160645,4.2e-07,-72.07856064,5.6e-08,0.00262357935251262,4.0e-17,frk+17,4.521,
17,B0021-72G,rlm+95,J0024-7204G,rlm+95,6.0331679,4.2e-07,-72.07769528,1.4e-07,0.00404037914356515,1.4e-16,frk+17,4.521,
18,B0021-72H,mlr+91,J0024-7204H,mlr+91,6.0279300,8.3e-07,-72.06855742,1.7e-07,0.00321034070935032,1.1e-16,frk+17,4.521,
19,B0021-72I,mlr+91,J0024-7204I,mlr+91,6.0330612,8.3e-07,-72.07768931,1.9e-07,0.00348499206166289,1.3e-16,frk+17,4.521,
20,B0021-72J,mlr+91,J0024-7204J,mlr+91,5.9975321,4.2e-07,-72.06633078,1.4e-07,0.00210063354535246,5.0e-17,frk+17,4.521,
21,B0021-72L,rlm+95,J0024-7204L,rlm+95,6.0157171,1.3e-06,-72.0824786,5.6e-07,0.0043461679994616,4.0e-16,frk+17,4.521,
22,B0021-72M,mlr+91,J0024-7204M,mlr+91,5.9770413,1.3e-06,-72.0918767,5.6e-07,0.0036766432176002,3.0e-16,frk+17,4.521,
23,B0021-72N,rlm+95,J0024-7204N,rlm+95,6.0382833,8.3e-07,-72.07469186,1.9e-07,0.00305395434626085,1.0e-16,frk+17,4.521,
24,J0024-7204O,clf+00,J0024-7204O,clf+00,6.0193856,2.5e-07,-72.08160194,5.6e-08,0.00264334329724357,5.0e-17,frk+17,4.521,
25,J0024-7204P,clf+00,J0024-7204P,clf+00,6.08,1.2e-01,-72.069,1.7e-02,0.0036430207,3.0e-10,rft+16,4.521,
26,J0024-7204Q,clf+00,J0024-7204Q,clf+00,6.0687121,4.2e-07,-72.07365678,1.7e-07,0.00403318118457258,1.5e-16,frk+17,4.521,
27,J0024-7204R,clf+00,J0024-7204R,clf+00,6.0316046,8.3e-07,-72.08066539,1.4e-07,0.00348046270749329,1.3e-16,frk+17,4.521,
28,J0024-7204S,clf+00,J0024-7204S,clf+00,6.0165808,4.2e-07,-72.07843139,1.1e-07,0.00283040595787912,8.0e-17,frk+17,4.521,
29,J0024-7204T,clf+00,J0024-7204T,clf+00,6.035621,2.1e-06,-72.0774811,8.3e-07,0.0075884798073671,1.2e-15,frk+17,4.521,
30,J0024-7204U,clf+00,J0024-7204U,clf+00,6.0409858,4.2e-07,-72.06658006,1.1e-07,0.00434282669639233,1.2e-16,frk+17,4.521,
31,J0024-7204V,clf+00,J0024-7204V,clf+00,6.02363,0,-72.08128,0,0.00481016762,7.0e-11,rft+16,4.521,
32,J0024-7204W,clf+00,J0024-7204W,clf+00,6.025242,4.2e-06,-72.0803022,5.6e-07,0.0023523445319370,3.0e-16,rft+16,4.521,
33,J0024-7204X,fre08,J0024-7204X,fre08,6.0932735,3.8e-07,-72.02151150,1.9e-07,0.00477152291069356,5.0e-17,rft+16,4.521,
34,J0024-7204Y,frk+17,J0024-7204Y,frk+17,6.0058442,4.2e-07,-72.07828786,1.1e-07,0.00219665714352123,5.0e-17,frk+17,4.521,
35,J0024-7204Z,frk+17,J0024-7204Z,frk+17,6.025171,8.3e-06,-72.0837444,1.7e-06,0.004554447383906,3.0e-15,frk+17,4.521,
36,J0026-1955,mss+20,J0026-1955,mss+20,6.65000,0,-19.93306,0,1.306150,5.0e-06,mbs+22,25.000,
37,J0026+6320,jml+09,J0026+6320,jml+09,6.71067,3.3e-05,63.333575,1.4e-05,0.31835777079,3.0e-11,sjm+19,6.619,
38,J0030+0451,lzb+00,J0030+0451,lzb+00,7.61428128,1.6e-07,4.8610310,3.7e-07,0.00486545321446896,1.0e-16,cpb+23,0.329,
39,J0033+57,hrk+08,J0033+57,hrk+08,8.25000,0,57.00000,0,0.315,0,hrk+08,2.251,
40,J0033+61,hrk+08,J0033+61,hrk+08,8.25000,0,61.00000,0,0.912,0,hrk+08,1.654,
41,J0034-0534,bhl+94,J0034-0534,bhl+94,8.5909759,3.3e-07,-5.5768672,8.3e-07,0.0018771818845850,2.0e-16,aaa+10b,1.348,
42,B0031-07,lvw69a,J0034-0721,lvw69a,8.5369596,4.2e-07,-7.3648358,5.6e-07,0.9429509945598,1.7e-12,hlk+04,1.030,
43,J0034+69,slr+14,J0034+69,slr+14,8.5,7.5e-01,69.7,3.0e-01,0.03680412,1.6e-07,slr+14,2.283,
44,J0036-1033,sbs+21,J0036-1033,sbs+21,9.06254,1.7e-04,-10.5539,2.5e-04,0.900009289,3.0e-09,sbs+21,25.000,
45,J0038-2501,acd+19,J0038-2501,acd+19,9.54277,4.2e-05,-25.025203,5.6e-06,0.2569264575329,1.7e-12,acd+19,0.604,
46,J0039+35,scb+19,J0039+35,scb+19,9.78,5.0e-02,35.75,5.0e-02,0.5367,0,scb+19,25.000,
